2015-09-23 23:41:46,146 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:41:46,146 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=14 
2015-09-23 23:42:02,201 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:42:02,201 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:42:02,201 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=14 
2015-09-23 23:42:34,214 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:42:34,214 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:42:34,214 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=14 
2015-09-23 23:43:38,205 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:43:38,206 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:43:38,206 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=14 
2015-09-23 23:43:42,196 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:43:42,196 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:43:42,196 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=14 
2015-09-23 23:43:50,225 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:43:50,225 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:43:50,225 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=14 
2015-09-23 23:44:06,201 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:44:06,201 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:44:06,201 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=14 
2015-09-23 23:44:30,220 [INFO  IM] - <MsgConn.cpp>|<62>|<msg_conn_timer_callback>,up_msg_cnt=0, up_msg_miss_cnt=0, down_msg_cnt=0, down_msg_miss_cnt=0 
2015-09-23 23:44:38,171 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:44:38,171 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:44:38,171 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=14 
2015-09-23 23:44:56,472 [INFO  IM] - <BaseSocket.cpp>|<329>|<_AcceptNewSocket>,AcceptNewSocket, socket=14 from 192.168.1.101:58615

2015-09-23 23:44:56,490 [INFO  IM] - <MsgConn.cpp>|<448>|<_HandleLoginRequest>,HandleLoginReq, user_name=yang2, status=1, client_type=18, client=1.0.0, 
2015-09-23 23:44:56,502 [INFO  IM] - <DBServConn.cpp>|<293>|<_HandleValidateResponse>,HandleValidateResp, user_name=yang2, result=0
2015-09-23 23:44:56,502 [INFO  IM] - <DBServConn.cpp>|<352>|<_HandleValidateResponse>,user_name: yang2, uid: 5
2015-09-23 23:44:56,513 [INFO  IM] - <MsgConn.cpp>|<876>|<_HandleClientDepartmentRequest>,HandleClientDepartmentRequest, user_id=5, latest_update_time=1443019783.
2015-09-23 23:44:56,515 [INFO  IM] - <MsgConn.cpp>|<829>|<_HandleClientAllUserRequest>,HandleClientAllUserReq, user_id=5, latest_update_time=1443019783. 
2015-09-23 23:44:56,517 [INFO  IM] - <DBServConn.cpp>|<676>|<_HandleDepartmentResponse>,HandleDepartmentResponse, user_id=5, latest_update_time=1443019783, dept_cnt=0.
2015-09-23 23:44:56,517 [INFO  IM] - <GroupChat.cpp>|<37>|<HandleClientGroupNormalRequest>,HandleClientGroupNormalRequest, user_id=5. 
2015-09-23 23:44:56,518 [INFO  IM] - <DBServConn.cpp>|<430>|<_HandleAllUserResponse>,HandleAllUserResponse, userId=5, latest_update_time=1443019783, user_cnt=0
2015-09-23 23:44:56,519 [INFO  IM] - <MsgConn.cpp>|<549>|<_HandleClientRecentContactSessionRequest>,HandleClientRecentContactSessionRequest, user_id=5, latest_update_time=1443020530. 
2015-09-23 23:44:56,520 [INFO  IM] - <GroupChat.cpp>|<71>|<HandleGroupNormalResponse>,HandleGroupNormalResponse, user_id=5, group_cnt=0. 
2015-09-23 23:44:56,521 [INFO  IM] - <MsgConn.cpp>|<670>|<_HandleClientUnreadMsgCntRequest>,HandleClientUnreadMsgCntReq, from_id=5 
2015-09-23 23:44:56,522 [INFO  IM] - <DBServConn.cpp>|<407>|<_HandleRecentSessionResponse>,HandleRecentSessionResponse, userId=5, session_cnt=0
2015-09-23 23:44:56,532 [INFO  IM] - <DBServConn.cpp>|<589>|<_HandleUnreadMsgCountResponse>,HandleUnreadMsgCntResp, userId=5, total_cnt=0, user_unread_cnt=0.
2015-09-23 23:45:42,148 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:45:42,148 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:45:42,149 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:45:46,136 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:45:46,136 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:45:46,137 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:45:54,216 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:45:54,216 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:45:54,216 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:46:10,191 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:46:10,191 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:46:10,191 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:46:42,169 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:46:42,169 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:46:42,169 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:47:46,196 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:47:46,196 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:47:46,197 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:47:50,216 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:47:50,217 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:47:50,217 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:47:58,218 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:47:58,218 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:47:58,218 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:48:14,220 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:48:14,220 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:48:14,220 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:48:46,203 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:48:46,203 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:48:46,204 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:49:30,224 [INFO  IM] - <MsgConn.cpp>|<62>|<msg_conn_timer_callback>,up_msg_cnt=0, up_msg_miss_cnt=0, down_msg_cnt=0, down_msg_miss_cnt=0 
2015-09-23 23:49:50,143 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:49:50,143 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:49:50,143 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:49:54,150 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:49:54,150 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:49:54,150 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:50:02,145 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:50:02,145 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:50:02,145 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:50:18,232 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:50:18,232 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:50:18,232 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:50:50,229 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:50:50,229 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:50:50,229 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:51:54,143 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:51:54,143 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:51:54,143 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:51:58,233 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:51:58,233 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:51:58,233 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:52:06,209 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:52:06,209 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:52:06,209 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:52:22,205 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:52:22,205 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:52:22,205 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:52:54,223 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:52:54,223 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:52:54,223 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:53:58,223 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:53:58,224 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
